1780375318.183024,"{0: {'lag_delta': 0.0, 'pps_delta': -0.22759993050624416}}"
1780375323.1948135,"{0: {'lag_delta': 0.0, 'pps_delta': -0.2069090277327632}}"
1780375328.2056952,"{0: {'lag_delta': 0.0, 'pps_delta': -0.18809911612072483}}"
1780375333.2146227,"{0: {'lag_delta': 0.0, 'pps_delta': -0.17099919647330353}}"
1780375338.2257833,"{0: {'lag_delta': 0.0, 'pps_delta': -0.15545381497554445}}"
1780375343.2374845,"{0: {'lag_delta': 0.0, 'pps_delta': -0.1413216499780674}}"
1780375348.2504954,"{0: {'lag_delta': 0.0, 'pps_delta': -0.12847422725280921}}"
1780375353.2630348,"{0: {'lag_delta': 0.0, 'pps_delta': -0.11679475204800838}}"
1780375358.2736452,"{0: {'lag_delta': 0.0, 'pps_delta': -0.1061770473162369}}"
1780375363.2822394,"{0: {'lag_delta': 0.0, 'pps_delta': -0.09652458846926493}}"
1780375368.293293,"{0: {'lag_delta': 0.0, 'pps_delta': -0.08774962588142898}}"
1780375373.3047695,"{0: {'lag_delta': 0.0, 'pps_delta': -0.07977238716466672}}"
1780375378.3148124,"{0: {'lag_delta': 0.0, 'pps_delta': -0.07252035196813722}}"
1780375383.3248174,"{0: {'lag_delta': 0.0, 'pps_delta': -0.06592759269813087}}"
1780375388.3345037,"{0: {'lag_delta': 0.0, 'pps_delta': -0.05993417518016031}}"
1780375393.3421435,"{0: {'lag_delta': 0.0, 'pps_delta': -0.05448561380001138}}"
1780375398.3497982,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0495323761816735}}"
1780375403.3602383,"{0: {'lag_delta': 0.0, 'pps_delta': -0.04502943289298855}}"
1780375408.3713005,"{0: {'lag_delta': 0.0, 'pps_delta': -0.04093584808435935}}"
1780375413.3831286,"{0: {'lag_delta': 0.0, 'pps_delta': -0.037214407349324574}}"
1780375418.394608,"{0: {'lag_delta': 0.0, 'pps_delta': -0.03383127940833219}}"
1780375423.4032667,"{0: {'lag_delta': 0.0, 'pps_delta': -0.030755708552987926}}"
1780375428.4095652,"{0: {'lag_delta': 0.0, 'pps_delta': -0.027959735048398215}}"
1780375433.4210422,"{0: {'lag_delta': 0.0, 'pps_delta': -0.02541794095293426}}"
1780375438.4308093,"{0: {'lag_delta': 0.0, 'pps_delta': -0.023107219048029037}}"
1780375443.4427767,"{0: {'lag_delta': 0.0, 'pps_delta': -0.021006562771162862}}"
1780375448.450635,"{0: {'lag_delta': 0.0, 'pps_delta': -0.019096875246532363}}"
1780375453.4594758,"{0: {'lag_delta': 0.0, 'pps_delta': -0.017360795678769136}}"
1780375458.4674985,"{0: {'lag_delta': 0.0, 'pps_delta': -0.015782541525936722}}"
1780375463.4786968,"{0: {'lag_delta': 0.0, 'pps_delta': -0.014347765023558168}}"
1780375468.4904146,"{0: {'lag_delta': 0.0, 'pps_delta': -0.013043422748751254}}"
1780375473.503277,"{0: {'lag_delta': 0.0, 'pps_delta': -0.011857657044060943}}"
1780375478.5117457,"{0: {'lag_delta': 0.0, 'pps_delta': -0.010779688221987271}}"
1780375483.521362,"{0: {'lag_delta': 0.0, 'pps_delta': -0.009799716565680683}}"
1780375488.5329874,"{0: {'lag_delta': 0.0, 'pps_delta': -0.00890883324166225}}"
1780375493.544198,"{0: {'lag_delta': 0.0, 'pps_delta': -0.008098939310457354}}"
1780375498.5540307,"{0: {'lag_delta': 0.0, 'pps_delta': -0.007362672100271084}}"
1780375503.566387,"{0: {'lag_delta': 0.0, 'pps_delta': -0.006693338273180416}}"
1780375508.5777307,"{0: {'lag_delta': 0.0, 'pps_delta': -0.006084852975504873}}"
1780375513.5863585,"{0: {'lag_delta': 0.0, 'pps_delta': -0.005531684522793512}}"
1780375518.5987697,"{0: {'lag_delta': 0.0, 'pps_delta': -0.005028804111930185}}"
1780375523.6122677,"{0: {'lag_delta': 0.0, 'pps_delta': -0.004571640101971752}}"
1780375528.619631,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0041560364562656105}}"
1780375533.6289763,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0037782149603344806}}"
1780375538.6412401,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0034347408728763185}}"
1780375543.6492264,"{0: {'lag_delta': 0.0, 'pps_delta': -0.0031224917024701426}}"
